accession_number,technology,assembly,country
JX462721.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462720.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462719.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462718.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462717.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462716.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462715.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462714.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462713.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462712.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462711.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462710.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462709.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462708.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462707.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462706.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462705.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462704.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462703.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462702.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462701.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462700.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462699.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462698.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462697.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462696.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462695.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462694.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462693.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462692.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462691.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462690.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462689.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462688.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462686.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462685.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462684.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462683.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462682.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462681.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462680.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX508853.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX508852.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX508851.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX508850.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX508849.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
KF048033.1,NA,NA,NA
AP013292.1,NA,NA,NA
AP013291.1,NA,NA,NA
AP013290.1,NA,NA,NA
AP013289.1,NA,NA,NA
AP013288.1,NA,NA,NA
AP013287.1,NA,NA,NA
AP013286.1,NA,NA,NA
AP013285.1,NA,NA,NA
AP013284.1,NA,NA,NA
AP013283.1,NA,NA,NA
AP013282.1,NA,NA,NA
AP013281.1,NA,NA,NA
AP013280.1,NA,NA,NA
AP013279.1,NA,NA,NA
AP013278.1,NA,NA,NA
AP013277.1,NA,NA,NA
AP013276.1,NA,NA,NA
AP013275.1,NA,NA,NA
AP013274.1,NA,NA,NA
AP013273.1,NA,NA,NA
AP013272.1,NA,NA,NA
AP013271.1,NA,NA,NA
AP013270.1,NA,NA,NA
AP013269.1,NA,NA,NA
AP013268.1,NA,NA,NA
AP013267.1,NA,NA,NA
AP013266.1,NA,NA,NA
AP013265.1,NA,NA,NA
AP013264.1,NA,NA,NA
AP013263.1,NA,NA,NA
AP013262.1,NA,NA,NA
AP013261.1,NA,NA,NA
AP013260.1,NA,NA,NA
AP013259.1,NA,NA,NA
AP013258.1,NA,NA,NA
AP013257.1,NA,NA,NA
AP013256.1,NA,NA,NA
AP013255.1,NA,NA,NA
AP013254.1,NA,NA,NA
AP013253.1,NA,NA,NA
AP013252.1,NA,NA,NA
AP013251.1,NA,NA,NA
AP013250.1,NA,NA,NA
AP013249.1,NA,NA,NA
AP013248.1,NA,NA,NA
AP013247.1,NA,NA,NA
AP013246.1,NA,NA,NA
AP013245.1,NA,NA,NA
AP013244.1,NA,NA,NA
AP013243.1,NA,NA,NA
AP013242.1,NA,NA,NA
AP013241.1,NA,NA,NA
AP013240.1,NA,NA,NA
AP013239.1,NA,NA,NA
AP013238.1,NA,NA,NA
AP013237.1,NA,NA,NA
AP013236.1,NA,NA,NA
AP013235.1,NA,NA,NA
AP013234.1,NA,NA,NA
AP013233.1,NA,NA,NA
AP013232.1,NA,NA,NA
AP013231.1,NA,NA,NA
AP013230.1,NA,NA,NA
AP013229.1,NA,NA,NA
AP013228.1,NA,NA,NA
AP013227.1,NA,NA,NA
AP013226.1,NA,NA,NA
AP013225.1,NA,NA,NA
AP013224.1,NA,NA,NA
AP013223.1,NA,NA,NA
AP013222.1,NA,NA,NA
MK134334.1,Sanger dideoxy sequencing,NA,Serbia
MK134333.1,Sanger dideoxy sequencing,NA,Serbia
MK134332.1,Sanger dideoxy sequencing,NA,Serbia
MK134331.1,Sanger dideoxy sequencing,NA,Serbia
MK134330.1,Sanger dideoxy sequencing,NA,Serbia
MK134329.1,Sanger dideoxy sequencing,NA,Serbia
MK134328.1,Sanger dideoxy sequencing,NA,Serbia
MK134327.1,Sanger dideoxy sequencing,NA,Serbia
MK134326.1,Sanger dideoxy sequencing,NA,Serbia
MK134324.1,Sanger dideoxy sequencing,NA,Serbia
MK134323.1,Sanger dideoxy sequencing,NA,Serbia
MK134322.1,Sanger dideoxy sequencing,NA,Serbia
MK134321.1,Sanger dideoxy sequencing,NA,Serbia
MK134320.1,Sanger dideoxy sequencing,NA,Serbia
MK134319.1,Sanger dideoxy sequencing,NA,Serbia
MK134317.1,Sanger dideoxy sequencing,NA,Serbia
MK134315.1,Sanger dideoxy sequencing,NA,Serbia
MK134314.1,Sanger dideoxy sequencing,NA,Serbia
MK134313.1,Sanger dideoxy sequencing,NA,Serbia
MK134312.1,Sanger dideoxy sequencing,NA,Serbia
AP013221.1,NA,NA,NA
AP013220.1,NA,NA,NA
AP013219.1,NA,NA,NA
AP013218.1,NA,NA,NA
AP013217.1,NA,NA,NA
AP013216.1,NA,NA,NA
AP013215.1,NA,NA,NA
AP013214.1,NA,NA,NA
AP013213.1,NA,NA,NA
AP013212.1,NA,NA,NA
AP013211.1,NA,NA,NA
AP013210.1,NA,NA,NA
AP013209.1,NA,NA,NA
AP013208.1,NA,NA,NA
AP013207.1,NA,NA,NA
AP013206.1,NA,NA,NA
AP013205.1,NA,NA,NA
AP013204.1,NA,NA,NA
AP013203.1,NA,NA,NA
AP013202.1,NA,NA,NA
AP013201.1,NA,NA,NA
AP013200.1,NA,NA,NA
AP013199.1,NA,NA,NA
AP013198.1,NA,NA,NA
AP013197.1,NA,NA,NA
AP013196.1,NA,NA,NA
AP013195.1,NA,NA,NA
AP013194.1,NA,NA,NA
AP013193.1,NA,NA,NA
AP013192.1,NA,NA,NA
AP013191.1,NA,NA,NA
AP013190.1,NA,NA,NA
AP013189.1,NA,NA,NA
AP013188.1,NA,NA,NA
AP013187.1,NA,NA,NA
AP013186.1,NA,NA,NA
AP013185.1,NA,NA,NA
AP013184.1,NA,NA,NA
AP013183.1,NA,NA,NA
AP013182.1,NA,NA,NA
AP013181.1,NA,NA,NA
AP013180.1,NA,NA,NA
AP013179.1,NA,NA,NA
AP013178.1,NA,NA,NA
AP013177.1,NA,NA,NA
AP013176.1,NA,NA,NA
AP013175.1,NA,NA,NA
AP013174.1,NA,NA,NA
AP013173.1,NA,NA,NA
AP013172.1,NA,NA,NA
AP013171.1,NA,NA,NA
AP013170.1,NA,NA,NA
AP013169.1,NA,NA,NA
AP013168.1,NA,NA,NA
AP013167.1,NA,NA,NA
AP013166.1,NA,NA,NA
AP013165.1,NA,NA,NA
AP013164.1,NA,NA,NA
AP013163.1,NA,NA,NA
AP013162.1,NA,NA,NA
AP013161.1,NA,NA,NA
AP013160.1,NA,NA,NA
AP013159.1,NA,NA,NA
AP013158.1,NA,NA,NA
AP013157.1,NA,NA,NA
AP013156.1,NA,NA,NA
AP013155.1,NA,NA,NA
AP013154.1,NA,NA,NA
AP013153.1,NA,NA,NA
AP013152.1,NA,NA,NA
AP013151.1,NA,NA,NA
AP013150.1,NA,NA,NA
AP013149.1,NA,NA,NA
AP013148.1,NA,NA,NA
AP013147.1,NA,NA,NA
AP013146.1,NA,NA,NA
AP013145.1,NA,NA,NA
AP013144.1,NA,NA,NA
AP013143.1,NA,NA,NA
AP013142.1,NA,NA,NA
AP013141.1,NA,NA,NA
AP013140.1,NA,NA,NA
AP013139.1,NA,NA,NA
AP013138.1,NA,NA,NA
AP013137.1,NA,NA,NA
AP013136.1,NA,NA,NA
AP013135.1,NA,NA,NA
AP013134.1,NA,NA,NA
AP013133.1,NA,NA,NA
AP013132.1,NA,NA,NA
AP013131.1,NA,NA,NA
AP013130.1,NA,NA,NA
AP013129.1,NA,NA,NA
AP013128.1,NA,NA,NA
AP013127.1,NA,NA,NA
AP013126.1,NA,NA,NA
AP013125.1,NA,NA,NA
AP013124.1,NA,NA,NA
AP013123.1,NA,NA,NA
AP013122.1,NA,NA,NA
AP013121.1,NA,NA,NA
AP013120.1,NA,NA,NA
AP013119.1,NA,NA,NA
AP013118.1,NA,NA,NA
AP013117.1,NA,NA,NA
AP013116.1,NA,NA,NA
AP013115.1,NA,NA,NA
AP013114.1,NA,NA,NA
AP013113.1,NA,NA,NA
AP013112.1,NA,NA,NA
AP013111.1,NA,NA,NA
AP013110.1,NA,NA,NA
AP013109.1,NA,NA,NA
AP013108.1,NA,NA,NA
KF038316.1,Sanger dideoxy sequencing,NA,India: Surat
HQ661871.1,NA,NA,NA
EU673448.1,NA,NA,NA
KF500032.1,NA,NA,NA
KF548612.1,NA,NA,NA
KF548587.1,NA,NA,NA
KF146293.1,Sanger dideoxy sequencing,NA,Italy: Umbria
KF146292.1,Sanger dideoxy sequencing,NA,Iran: Gilan
KF146291.1,Sanger dideoxy sequencing,NA,Iran: Khuzistan
KF146290.1,Sanger dideoxy sequencing,NA,Iran: Fars
KF146289.1,Sanger dideoxy sequencing,NA,Italy: Tuscany
KF146288.1,Sanger dideoxy sequencing,NA,Italy: Piedmont
KF146287.1,Sanger dideoxy sequencing,NA,Kuwait
KF146286.1,Sanger dideoxy sequencing,NA,Italy: Umbria
KF146285.1,Sanger dideoxy sequencing,NA,Morocco: Berber
KF146284.1,Sanger dideoxy sequencing,NA,Italy: Tuscany
KF146283.1,Sanger dideoxy sequencing,NA,Iran: Lorestan
KF146282.1,Sanger dideoxy sequencing,NA,Italy: Piedmont
KF146281.1,Sanger dideoxy sequencing,NA,Poland
KF146280.1,Sanger dideoxy sequencing,NA,Mongolia: Khentii
KF146279.1,Sanger dideoxy sequencing,NA,Iran: Kordestan
KF146278.1,Sanger dideoxy sequencing,NA,India: New-Delhi
KF146277.1,Sanger dideoxy sequencing,NA,Morocco: Berber
KF146276.1,Sanger dideoxy sequencing,NA,France: Toulose
KF146275.1,Sanger dideoxy sequencing,NA,Italy: Campania
KF146274.1,Sanger dideoxy sequencing,NA,Italy: Sardinia
KF146273.1,Sanger dideoxy sequencing,NA,Italy: Tuscany
KF146272.1,Sanger dideoxy sequencing,NA,Italy: Apulia
KF146271.1,Sanger dideoxy sequencing,NA,Italy: Tuscany
KF146270.1,Sanger dideoxy sequencing,NA,Ukraine
KF146269.1,Sanger dideoxy sequencing,NA,Italy: Sardinia
KF146268.1,Sanger dideoxy sequencing,NA,Iran: Azerbaijan
KF146267.1,Sanger dideoxy sequencing,NA,Russia: Adygei
KF146266.1,Sanger dideoxy sequencing,NA,Poland
KF146265.1,Sanger dideoxy sequencing,NA,Iran: Khorasan
KF146264.1,Sanger dideoxy sequencing,NA,Italy: Umbria
KF146263.1,Sanger dideoxy sequencing,NA,Italy: Marche
KF146262.1,Sanger dideoxy sequencing,NA,Iran: Yazd
KF146261.1,Sanger dideoxy sequencing,NA,Iran: Mazandaran
KF146260.1,Sanger dideoxy sequencing,NA,Italy: Marche
KF146259.1,Sanger dideoxy sequencing,NA,Italy: Marche
KF146258.1,Sanger dideoxy sequencing,NA,Iran: Gilan
KF146257.1,Sanger dideoxy sequencing,NA,Italy: Piedmont
KF146256.1,Sanger dideoxy sequencing,NA,Italy: Piedmont
KF146255.1,Sanger dideoxy sequencing,NA,Ukraine
KF146254.1,Sanger dideoxy sequencing,NA,Italy: Marche
KF146253.1,Sanger dideoxy sequencing,NA,Kuwait
KF146252.1,Sanger dideoxy sequencing,NA,Iran: Lorestan
KF146251.1,Sanger dideoxy sequencing,NA,Italy: Marche
KF146250.1,Sanger dideoxy sequencing,NA,Iran: Azerbaijan
KF146249.1,Sanger dideoxy sequencing,NA,Italy: Marche
KF146248.1,Sanger dideoxy sequencing,NA,Italy: Sardinia
KF146247.1,Sanger dideoxy sequencing,NA,Italy: Tuscany
KF146246.1,Sanger dideoxy sequencing,NA,Italy: Campania
KF146245.1,Sanger dideoxy sequencing,NA,Italy
KF146244.1,Sanger dideoxy sequencing,NA,Italy: Lombardy
KF146243.1,Sanger dideoxy sequencing,NA,Italy
KF146242.1,Sanger dideoxy sequencing,NA,Iran: Khuzestan
KF146241.1,Sanger dideoxy sequencing,NA,Iran: Hormozgan
KF146240.1,Sanger dideoxy sequencing,NA,Italy: Sardinia
KF146239.1,Sanger dideoxy sequencing,NA,Italy: Piedmont
KF146238.1,Sanger dideoxy sequencing,NA,Ukraine
KF146237.1,Sanger dideoxy sequencing,NA,Italy: Sardinia
KF146236.1,Sanger dideoxy sequencing,NA,Poland
KF038317.1,Sanger dideoxy sequencing,NA,"United Kingdom: Scotland, North Ronaldsay, Orkney"
KF493878.1,NA,NA,NA
KF448539.1,NA,NA,NA
KF466258.1,NA,NA,NA
KF471682.1,NA,NA,NA
KF466257.1,NA,NA,NA
KF466256.1,NA,NA,NA
KF495533.1,NA,NA,NA
KF495532.1,NA,NA,NA
KF483661.1,NA,NA,NA
KF435080.1,NA,NA,NA
KF322082.1,NA,NA,NA
KF358712.1,NA,NA,NA
KF379750.1,NA,NA,NA
KF408422.1,NA,NA,NA
KF418766.1,NA,NA,NA
KF408388.1,NA,NA,NA
KF417432.1,NA,NA,NA
KF424268.1,NA,NA,NA
KF424557.1,NA,NA,NA
KF429262.1,NA,NA,NA
KF432845.1,NA,NA,NA
MK134311.1,Sanger dideoxy sequencing,NA,Serbia
MK134310.1,Sanger dideoxy sequencing,NA,Serbia
MK134309.1,Sanger dideoxy sequencing,NA,Serbia
MK134308.1,Sanger dideoxy sequencing,NA,Serbia
MK134307.1,Sanger dideoxy sequencing,NA,Serbia
MK134306.1,Sanger dideoxy sequencing,NA,Serbia
MK134305.1,Sanger dideoxy sequencing,NA,Serbia
MK134304.1,Sanger dideoxy sequencing,NA,Serbia
MK134303.1,Sanger dideoxy sequencing,NA,Serbia
MK134302.1,Sanger dideoxy sequencing,NA,Serbia
MK134301.1,Sanger dideoxy sequencing,NA,Serbia
MK134300.1,Sanger dideoxy sequencing,NA,Serbia
MK134299.1,Sanger dideoxy sequencing,NA,Serbia
MK134298.1,Sanger dideoxy sequencing,NA,Serbia
MK134297.1,Sanger dideoxy sequencing,NA,Serbia
MK134296.1,Sanger dideoxy sequencing,NA,Serbia
MK134295.1,Sanger dideoxy sequencing,NA,Serbia
MK134294.1,Sanger dideoxy sequencing,NA,Serbia
MK134293.1,Sanger dideoxy sequencing,NA,Serbia
MK134292.1,Sanger dideoxy sequencing,NA,Serbia
KF432855.1,NA,NA,NA
JX462739.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
JX462687.1,Sanger dideoxy sequencing,AutoAssembler v. 2.1,NA
KC998707.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
KC998706.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
KC998705.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
KC998704.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
KC998703.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
KC998702.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
KC998701.1,Sanger dideoxy sequencing; Illumina,Sequencher v. 4.8,NA
JX297187.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297182.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297173.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297170.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297158.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297201.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297200.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297199.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297198.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297197.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297196.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297195.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297194.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297193.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297192.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297191.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297190.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297189.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297188.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297186.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297185.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297184.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297183.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297181.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297180.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297179.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297178.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297177.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297176.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297175.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297174.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297172.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297171.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297169.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297168.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297167.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297166.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297165.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297164.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297163.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297162.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297161.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297160.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297159.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297157.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297156.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297155.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297154.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297153.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297152.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297151.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297150.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297149.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297148.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297147.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297146.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297145.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297144.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297143.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297142.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297141.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297140.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297139.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297138.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297137.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297136.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297135.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297134.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297133.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297132.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297131.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297130.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297129.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297128.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297127.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
JX297126.1,Sanger dideoxy sequencing,SeqScape v. 2.5,Spain: Northern Spain
KF251094.1,NA,NA,NA
KF267255.1,NA,NA,NA
KF255394.1,NA,NA,NA
KF260957.1,NA,NA,NA
KF255549.1,NA,NA,NA
KF254840.1,NA,NA,NA
KF262460.1,NA,NA,NA
KF281745.1,NA,NA,NA
KF287642.1,NA,NA,NA
KF305642.1,NA,NA,NA
KC985167.1,Sanger dideoxy sequencing,NA,Russia
KC985166.1,Sanger dideoxy sequencing,NA,Russia
KC985165.1,Sanger dideoxy sequencing,NA,Russia
KC985164.1,Sanger dideoxy sequencing,NA,Russia
KC985163.1,Sanger dideoxy sequencing,NA,Russia
KC985162.1,Sanger dideoxy sequencing,NA,Russia
KC985161.1,Sanger dideoxy sequencing,NA,Russia
KC985160.1,Sanger dideoxy sequencing,NA,Iran
KC985159.1,Sanger dideoxy sequencing,NA,Russia
KC985158.1,Sanger dideoxy sequencing,NA,Russia
KC985157.1,Sanger dideoxy sequencing,NA,Italy
KC985156.1,Sanger dideoxy sequencing,NA,Russia
KC985155.1,Sanger dideoxy sequencing,NA,Russia
KC985154.1,Sanger dideoxy sequencing,NA,Egypt
KC985153.1,Sanger dideoxy sequencing,NA,Russia
KC985152.1,Sanger dideoxy sequencing,NA,India
KC985151.1,Sanger dideoxy sequencing,NA,Russia
KC985150.1,Sanger dideoxy sequencing,NA,USA
KC985149.1,Sanger dideoxy sequencing,NA,Iran
KC985148.1,Sanger dideoxy sequencing,NA,Iran
KC985147.1,Sanger dideoxy sequencing,NA,Russia
KC867135.1,Sanger dideoxy sequencing,NA,Iran
KC867134.1,Sanger dideoxy sequencing,NA,Iran
KC867133.1,Sanger dideoxy sequencing,NA,Iran
KC867132.1,Sanger dideoxy sequencing,NA,Iran
KC867131.1,Sanger dideoxy sequencing,NA,Iran
KC867130.1,Sanger dideoxy sequencing,NA,Iran
KC867129.1,Sanger dideoxy sequencing,NA,Iran
KC867128.1,Sanger dideoxy sequencing,NA,Romania
KC867127.1,Sanger dideoxy sequencing,NA,Belarus
KC867126.1,Sanger dideoxy sequencing,NA,Albania
KC867125.1,Sanger dideoxy sequencing,NA,Turkey
KC867124.1,Sanger dideoxy sequencing,NA,Egypt
KC867123.1,Sanger dideoxy sequencing,NA,Iran
KC867122.1,Sanger dideoxy sequencing,NA,Italy
KC867121.1,Sanger dideoxy sequencing,NA,Iran
KC867120.1,Sanger dideoxy sequencing,NA,Iran
KC867119.1,Sanger dideoxy sequencing,NA,Iran
KC867118.1,Sanger dideoxy sequencing,NA,Lebanon
KC867117.1,Sanger dideoxy sequencing,NA,Saudi Arabia
KC867116.1,Sanger dideoxy sequencing,NA,Saudi Arabia
KC867115.1,Sanger dideoxy sequencing,NA,Italy
KC867114.1,Sanger dideoxy sequencing,NA,Kuwait
KC867113.1,Sanger dideoxy sequencing,NA,Russia
KC867112.1,Sanger dideoxy sequencing,NA,Italy
KC867111.1,Sanger dideoxy sequencing,NA,Italy
KC867110.1,Sanger dideoxy sequencing,NA,Italy
KC867109.1,Sanger dideoxy sequencing,NA,Cyprus
KC867108.1,Sanger dideoxy sequencing,NA,Russia
KC867107.1,Sanger dideoxy sequencing,NA,Romania
KC867106.1,Sanger dideoxy sequencing,NA,Greece
KC867105.1,Sanger dideoxy sequencing,NA,Armenia
KC867104.1,Sanger dideoxy sequencing,NA,Belarus
KC867103.1,Sanger dideoxy sequencing,NA,Iran
KC994161.1,Illumina,MIA v. 2009,Philippines
KC994160.1,Illumina,MIA v. 2009,Philippines
KC994159.1,Illumina,MIA v. 2009,Philippines
KC994158.1,Illumina,MIA v. 2009,Philippines
KC994157.1,Illumina,MIA v. 2009,Philippines
KC994156.1,Illumina,MIA v. 2009,Philippines
KC994155.1,Illumina,MIA v. 2009,Philippines
KC994154.1,Illumina,MIA v. 2009,Philippines
KC994153.1,Illumina,MIA v. 2009,Philippines
KC994152.1,Illumina,MIA v. 2009,Philippines
KC994151.1,Illumina,MIA v. 2009,Philippines
